"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","контакты emk24 -- @1.2 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","0","","","","","","Купить в 1 клик emk24 -- @1.4 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","Заказать звонок emk24 -- @1.2 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","Скачать стандарт emk24 -- @1.1 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","emk24 -- @1.1 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","2","","","","","","forging.emk24.su секция 1 и 4 -- @1.2 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","emk24 -- @1.4 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","emk24 -- @1.3 ",""
"passed","Tue Jul 27 23:36:59 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","19867","","","","","","корзина emk24 -- @1.1 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","emk24 -- @1.2 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","0","","","","","","Купить в 1 клик emk24 -- @1.2 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","Скачать стандарт emk24 -- @1.3 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","emkmet_ru секция 2",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","Купить в 1 клик emk24 -- @1.3 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","2","","","","","","emk24 -- @1.2 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","0","","","","","","emkmet_ru секция 1 и 4 -- @1.2 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","Скачать стандарт emk24 -- @1.2 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","forging.emk24.su секция 1 и 4 -- @1.1 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","контакты emk24 -- @1.3 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","emk24 -- @1.3 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","2","","","","","","emk24 -- @1.4 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","Купить в 1 клик emk24 -- @1.1 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","emkmet_ru секция 3",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","0","","","","","","контакты emk24 -- @1.1 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","контакты emk24 -- @1.4 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","emkmet_ru секция 3",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","emk24 -- @1.1 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","0","","","","","","Заказать звонок emk24 -- @1.1 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","emkmet_ru секция 1 и 4 -- @1.1 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","Заказать звонок emk24 -- @1.3 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","Скачать стандарт emk24 -- @1.4 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","1","","","","","","Заказать звонок emk24 -- @1.4 ",""
"skipped","Tue Jul 27 23:37:19 MSK 2021","Tue Jul 27 23:37:19 MSK 2021","2","","","","","","emkmet_ru секция 2",""
